LANGUAGE,English,German,Russian,French

//Factions
STR_KPFS_FACTION_BELGIUM,"Belgium","Belgien","Бельгия","Belgique"
STR_KPFS_FACTION_DENMARK,"Denmark","Dänemark","Дания","Danemark"
STR_KPFS_FACTION_FINLAND,"Finland","Finnland","Финляндия","Finlande"
STR_KPFS_FACTION_FRANCE,"France","Frankreich","Франция","France"
STR_KPFS_FACTION_GREECE,"Greece","Griechenland","Греция","Grèce"
STR_KPFS_FACTION_ITALY,"Italy","Italien","Италия","Italie"
STR_KPFS_FACTION_IRELAND,"Ireland","Irland","Ирландия","Irlande"
STR_KPFS_FACTION_LUXEMBURG,"Luxembourg","Luxemburg","Люксембург","Luxembourg"
STR_KPFS_FACTION_NETHERLANDS,"Netherlands","Niederlande","Нидерланды","Pays-Bas"
STR_KPFS_FACTION_NORWAY,"Norway","Norwegen","Норвегия","Norvège"
STR_KPFS_FACTION_PORTUGAL,"Portugal","Portugal","Португалия","Portugal"
STR_KPFS_FACTION_SPAIN,"Spain","Spain","Испания","Espagne"
STR_KPFS_FACTION_SWEDEN,"Sweden","Schweden","Швеция","Suède"
STR_KPFS_FACTION_TURKEY,"Turkey","Türkei","Турция","Turquie"
STR_KPFS_FACTION_UK,"United Kingdom","Vereinigtes Königreich","Великобритания","Royaume-Uni"

STR_KPFS_FACTION_USSR,"Soviet Union","Sowjetunion","СССР","Union soviétique"
STR_KPFS_FACTION_PR_POLAND,"PR Poland","VR Polen","Польская НР","RP de Pologne"
STR_KPFS_FACTION_PR_HUNGARY,"PR Hungary","VR Ungarn","Венгерская НР","RP de Hongrie"
STR_KPFS_FACTION_PR_ALBANIA,"PR Albania","VR Albanien","НСР Албания","RPS d'Albanie"
STR_KPFS_FACTION_PR_BULGARIA,"PR Bulgaria","VR Bulgarien","НР Болгария","RP de Bulgarie"
STR_KPFS_FACTION_PR_ROMANIA,"PR Romania","VR Rumänien","СР Румыния","RS de Roumanie"
STR_KPFS_FACTION_CSSR,"Czechoslovakia","CSSR","ЧССР","RS Tchécoslovaquie"

STR_KPFS_FACTION_RUSSIA,"Russia","Russland","Россия","Russie"
STR_KPFS_FACTION_UKRAINE,"Ukraine","Ukraine","Украина","Ukraine"
STR_KPFS_FACTION_BELARUS,"Belarus","Weißrussland","Белоруссия","Biélorussie"
STR_KPFS_FACTION_MOLDAVIA,"Moldavia","Moldawien","Молдавия","Moldave"
STR_KPFS_FACTION_ESTONIA,"Estonia","Estland","Эстония","Estonie"
STR_KPFS_FACTION_LITHUANIA,"Lithuania","Litauen","Литва","Lituanie"
STR_KPFS_FACTION_LATVIA,"Latvia","Lettland","Латвия","Lettonie"
STR_KPFS_FACTION_POLAND,"Poland","Polen","Польша","Pologne"
STR_KPFS_FACTION_HUNGARY,"Hungary","Ungarn","Венгрия","Hongrie"
STR_KPFS_FACTION_ALBANIA,"Albania","Albanien","Албания","Albanie"
STR_KPFS_FACTION_BULGARIA,"Bulgaria","Bulgarien","Болгария","Bulgarie"
STR_KPFS_FACTION_ROMANIA,"Romania","Rumänien","Румыния","Roumanie"
STR_KPFS_FACTION_CZECH,"Czech Republic","Tschechische Republik","Че́шская Респу́блика","République tchèque"
STR_KPFS_FACTION_SLOVAKIA,"Slovakia","Slowakei","Словакия","Slovénie"

STR_KPFS_FACTION_BOSNIA,"Bosnia Herzegovina","Bosnien-Herzegowina","Босния и Герцеговина","Bosnie-Herzégovine"
STR_KPFS_FACTION_CROATIA,"Croatia","Kroatien","Хорватия","Croatie"
STR_KPFS_FACTION_KOSOVO,"Kosovo","Kosovo","Косово","Kosovo"
STR_KPFS_FACTION_MACEDONIA,"Macedonia","Mazedonien","Македония","Macédoine"
STR_KPFS_FACTION_MONTENEGRO,"Montenegro","Montenegro","Черногория","Monténégro"
STR_KPFS_FACTION_SERBIA,"Serbia","Serbien","Сербия","Serbie"
STR_KPFS_FACTION_SLOVENIA,"Slovenia","Slowenien","Словения","Slovénie"
STR_KPFS_FACTION_YUG,"Yugoslavia","Jugoslawien","СФРЮ","Yougoslavie"

//Flags
STR_KPFS_FLAG_BELGIUM,"Flag (Belgium)","Flagge (Belgien)","Флаг (Бельгия)","Drapeau (Belgique)"
STR_KPFS_FLAG_DENMARK,"Flag (Denmark)","Flagge (Dänemark)","Флаг (Дания)","Drapeau (Danemark)"
STR_KPFS_FLAG_FINLAND,"Flag (Finland)","Flagge (Finnland)","Флаг (Финляндия)","Drapeau (Finlande)"
STR_KPFS_FLAG_FRANCE,"Flag (France)","Flagge (Frankreich)","Флаг (Франция)","Drapeau (France)"
STR_KPFS_FLAG_GREECE,"Flag (Greece)","Flagge (Griechenland)","Флаг (Греция)","Drapeau (Grèce)"
STR_KPFS_FLAG_ITALY,"Flag (Italy)","Flagge (Italien)","Флаг (Италия)","Drapeau (Italie)"
STR_KPFS_FLAG_IRELAND,"Flag (Ireland)","Flagge (Irland)","Флаг (Ирландия)","Drapeau (Irlande)"
STR_KPFS_FLAG_LUXEMBURG,"Flag (Luxembourg)","Flagge (Luxemburg)","Флаг (Люксембург)","Drapeau (Luxembourg"
STR_KPFS_FLAG_NETHERLANDS,"Flag (Netherlands)","Flagge (Niederlande)","Флаг (Нидерланды)","Drapeau (Pays-Bas)"
STR_KPFS_FLAG_NORWAY,"Flag (Norway)","Flagge (Norwegen)","Флаг (Норвегия)","Drapeau (Norvège)"
STR_KPFS_FLAG_PORTUGAL,"Flag (Portugal)","Flagge (Portugal)","Флаг (Португалия)","Drapeau (Portugal)"
STR_KPFS_FLAG_SPAIN,"Flag (Spain)","Flagge (Spanien)","Флаг (Испания)","Drapeau (Espagne)"
STR_KPFS_FLAG_SWEDEN,"Flag (Sweden)","Flagge (Schweden)","Флаг (Швеция)","Drapeau (Suède)"
STR_KPFS_FLAG_TURKEY,"Flag (Turkey)","Flagge (Türkei)","Флаг (Турция)","Drapeau (Turquie)"

STR_KPFS_FLAG_EG,"Flag (European Community)","Flagge (EG)","Флаг (Европейское сообщество)","Drapeau (CE)"
STR_KPFS_FLAG_EU,"Flag (European Union)","Flagge (EU)","Флаг (Европейский союз)","Drapeau (UE)"

STR_KPFS_FLAG_USSR,"Flag (Soviet Union)","Flagge (Sowjetunion)","Флаг (СССР)","Drapeau (Union soviétique)"
STR_KPFS_FLAG_RUS_SSR,"Flag (Russian SSR)","Flagge (Russische SSR)","Флаг (Росси́йская СФСР)","Drapeau (RSFS de Russie)"
STR_KPFS_FLAG_UKR_SSR,"Flag (Ukrainian SSR)","Flagge (Ukrainische SSR)","Флаг (Украинская ССР)","Drapeau (RSS d'Ukraine)"
STR_KPFS_FLAG_EST_SSR,"Flag (Estonian SSR)","Flagge (Estnische SSR)","Флаг (Эстонская ССР)","Drapeau (RSS d'Estonie)"
STR_KPFS_FLAG_LIT_SSR,"Flag (Lithuanian SSR)","Flagge (Litauische SSR)","Флаг (Литовская ССР)","Drapeau (RSS de Lituanie)"
STR_KPFS_FLAG_LAT_SSR,"Flag (Latvian SSR)","Flagge (Lettische SSR)","Флаг (Латвийская ССР)","Drapeau (RSS de Lettonie)"
STR_KPFS_FLAG_BEL_SSR,"Flag (Byelorussian SSR)","Flagge (Weißrussische SSR)","Флаг (Белорусская ССР)","Drapeau (RSS de Biélorussie)"
STR_KPFS_FLAG_MOL_SSR,"Flag (Moldavian SSR)","Flagge (Moldauische SSR)","Флаг ( Молда́вская ССР)","Drapeau (RSS de Moldave)"
STR_KPFS_FLAG_WP,"Flag (Warsaw Pact)","Flagge (Warschauer Pakt)","Флаг (Варшавский договор)","Drapeau (Pacte de Varsovie)"

STR_KPFS_FLAG_RUSSIA,"Flag (Russia)","Flagge (Russland)","Флаг (Россия)","Drapeau (Russie)"
STR_KPFS_FLAG_UKRAINE,"Flag (Ukraine)","Flagge (Ukraine)","Флаг (Украина)","Drapeau (Ukraine)"
STR_KPFS_FLAG_BELARUS,"Flag (Belarus)","Flagge (Weißrussland)","Флаг (Белоруссия)","Drapeau (Biélorussie)"
STR_KPFS_FLAG_LATVIA,"Flag (Latvia)","Flagge (Lettland)","Флаг (Латвия)","Drapeau (Lettonie)"
STR_KPFS_FLAG_LITHUANIA,"Flag (Lithuania)","Flagge (Litauen)","Флаг (Литва)","Drapeau (Lituanie)"
STR_KPFS_FLAG_ESTONIA,"Flag (Estonia)","Flagge (Estland)","Флаг (Эстония)","Drapeau (Estonie)"
STR_KPFS_FLAG_MOLDAVIA,"Flag (Moldavia)","Flagge (Moldawien)","Флаг (Молдавия)","Drapeau (Moldave)"
STR_KPFS_FLAG_OVKS,"Flag (CSTO)","Flagge (OVKS)","Флаг (ОДКБ)","Drapeau (OTSC)"

STR_KPFS_FLAG_ALBANIA,"Flag (Albania)","Flagge (Albanien)","Флаг (Албания)","Drapeau (Albanie)"
STR_KPFS_FLAG_BULGARIA,"Flag (Bulgaria)","Flagge (Bulgarien)","Флаг (Болгария)","Drapeau (Bulgarie)"
STR_KPFS_FLAG_CZECH,"Flag (Czech Republic)","Flagge (Tschechische Republik)","Флаг (Че́шская Респу́блика)","Drapeau (République tchèque)"
STR_KPFS_FLAG_HUNGARIA,"Flag (Hungaria)","Flagge (Ungarn)","Флаг (Венгрия)","Drapeau (Hongrie)"
STR_KPFS_FLAG_POLAND,"Flag (Poland)","Flagge (Polen)","Флаг (Польша)","Drapeau (Pologne)"
STR_KPFS_FLAG_ROMANIA,"Flag (Romania)","Flagge (Rumänien)","Флаг (Румыния)","Drapeau (Roumanie)"
STR_KPFS_FLAG_SLOVAKIA,"Flag (Slovakia)","Flagge (Slowakei)","Флаг (Словакия)","Drapeau (Slovénie)"

STR_KPFS_FLAG_PR_ALBANIA,"Flag (PR Albania)","Flagge (VR Albanien)","Флаг (НСР Албания)","Drapeau (RPS d'Albanie)"
STR_KPFS_FLAG_PR_BULGARIA,"Flag (PR Bulgaria)","Flagge (VR Bulgarien)","Флаг (НР Болгария)","Drapeau (RP de Bulgarie)"
STR_KPFS_FLAG_CSSR,"Flag (CSSR)","Flagge (CSSR)","Флаг (ЧССР)","Drapeau (RS Tchécoslovaquie)"
STR_KPFS_FLAG_PR_POLAND,"Flag (PR Poland)","Flagge (VR Polen)","Флаг (Польская НР)","Drapeau (RP de Pologne)"
STR_KPFS_FLAG_PR_ROMANIA,"Flag (PR Romania)","Flagge (VR Rumänien)","Флаг (СР Румыния)","Drapeau (RS de Roumanie)"

STR_KPFS_FLAG_BOSNIA_SR,"Flag (SR Bosnia Herzegovina)","Flagge (SR Bosnien-Herzegowina)","Флаг (CP Босния и Герцеговина)","Drapeau (RS de Bosnie-Herzégovine)"
STR_KPFS_FLAG_CROATIA_SR,"Flag (SR Croatia)","Flagge (SR Kroatien)","Флаг (CP Хорватия)","Drapeau (RS de Croatie)"
STR_KPFS_FLAG_MAZEDONIA_SR,"Flag (SR Macedonia)","Flagge (SR Mazedonien)","Флаг (CP Македония)","Drapeau (RS de Macédoine)"
STR_KPFS_FLAG_MONTENEGRO_SR,"Flag (SR Montenegro)","Flagge (SR Montenegro)","Флаг (CP Черногория)","Drapeau (RS de Monténégro)"
STR_KPFS_FLAG_SERBIA_SR,"Flag (SR Serbia)","Flagge (SR Serbien)","Флаг (CP Сербия)","Drapeau (RS de Serbie)"
STR_KPFS_FLAG_SLOVENIA_SR,"Flag (SR Slovenia)","Flagge (SR Slowenien)","Флаг (CP Словения)","Drapeau (RS de Slovénie)"
STR_KPFS_FLAG_YUG,"Flag (Yugoslavia)","Flagge (Jugoslawien)","Флаг (СФРЮ)","Drapeau (Yougoslavie)"

STR_KPFS_FLAG_BOSNIA,"Flag (Bosnia Herzegovina)","Flagge (Bosnien-Herzegowina)","Флаг (Босния и Герцеговина)","Drapeau (Bosnie-Herzégovine)"
STR_KPFS_FLAG_CROATIA,"Flag (Croatia)","Flagge (Kroatien)","Флаг (Хорватия)","Drapeau (Croatie)"
STR_KPFS_FLAG_MAZEDONIA,"Flag (Macedonia)","Flagge (Mazedonien)","Флаг (Македония)","Drapeau (Macédoine)"
STR_KPFS_FLAG_MONTENEGRO,"Flag (Montenegro)","Flagge (Montenegro)","Флаг (Черногория)","Drapeau (Monténégro)"
STR_KPFS_FLAG_KOSOVO,"Flag (Kosovo)","Flagge (Kosovo)","Флаг (Косово)","Drapeau (Kosovo)"
STR_KPFS_FLAG_SERBIA,"Flag (Serbia)","Flagge (Serbien)","Флаг (Сербия)","Drapeau (Serbie)"
STR_KPFS_FLAG_SLOVENIA,"Flag (Slovenia)","Flagge (Slowenien)","Флаг (Словения)","Drapeau (Slovénie)"




